EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
1122,3.0,23,1.0,3,16947,08-08-2020,3,80,1,Human Resources,travel_rarely,no,13,87,3,3,1440,No,F,Y,2,3,1,Top performer,2,3,47.0,3.0,R&D,$6534.0,3.0,Married,2,0,3,Research Scientist
1123,16.0,21,2.0,0,25995,2004-09-18,1,80,1,Life Sciences,Travel_Rarely,No,4,62,0,3,194,N,MALE,Y,3,2,0,Meets expectations,1,1,42.0,,research & development,4636.0,4.0,single,1,0,2,Research Scientist
1124,24.0,23,1.0,2,9930,2020-09-28,2,80,1,Technical Degree,Travel Frequently,Y,23,74,2,3,1348,True,MALE,Y,2,3,1,Key talent,2,1,26.0,3.0,Saless,nan,2.0,M,4,2,3,Sales Representative
1125,5.0,14,5.0,1,8517,2023-03-24,3,80,1,Marketing,Travel_Rarely,NO,4,98,1,3,1048,NO,FEMALE,Y,4,1,0,Average,1,2,51.0,3.0,R&D,29070,3.0,M,3,1,2,Healthcare Representative
1126,1.0,14,2.0,0,16287,20/04/2007,2,80,1,Marketing,Travel_Rarely,Y,11,61,0,3,652,no,male,Y,4,3,0,,2,2,26.0,4.0,R&D,5288.0,4.0,Divorced,3,0,2,Manufacturing Director
1127,2.0,21,2.0,1,13829,2014-04-05,1,80,1,Medical,Travel Rarely,N,5,81,1,3,744,Yes,M,Y,3,3,1,Exceeded expectations,2,2,39.0,1.0,Human Resourses,6965.0,2.0,MARRIED,4,0,1,Manager
1128,,13,1.0,2,4422,2007-03-24,2,80,1,Medical,Travel Rarely,Y,18,93,2,4,165,False,male,Y,3,1,2,Top performer,1,0,30.0,4.0,Research and Development,4920.0,2.0,MARRIED,3,1,4,Research Scientist
1129,11.0,18,1.0,1,15960,13/06/2015,4,80,1,Medical,Non-Travel,N,19,69,0,3,1333,N,female,Y,4,4,0,,1,0,36.0,3.0,research & development,5380.0,1.0,married,3,0,2,Healthcare Representative
1130,,13,2.0,4,10865,10-11-2017,3,80,1,Medical,Non Travel,Y,1,42,1,3,764,False,f,Y,3,5,1,Top performer,2,3,39.0,,Research and Development,6027.0,3.0,Single,4,4,2,Healthcare Representative
1131,0.0,23,3.0,0,7985,11/09/2008,2,80,1,Medical,Travel_Frequently,NO,22,58,0,4,783,No,FEMALE,Y,3,2,0,Average,4,3,39.0,4.0,Sales,$13797.0,4.0,single,1,0,2,Sales Executive
1132,13.0,15,2.0,0,8947,11-04-2013,1,80,1,Other,Travel_Rarely,Y,13,92,0,3,1009,N,female,Y,4,4,0,Average,2,1,40.0,3.0,,6923.0,2.0,MARRIED,4,0,2,Manager
1133,7.0,12,6.0,1,15790,09/04/2004,3,80,1,Marketing,Non Travel,NO,12,55,0,3,936,N,m,Y,4,2,1,Needs improvement,3,3,51.0 years,2.0,Sale,nan,1.0,MARRIED,2,1,3,Sales Executive
1134,23.0,16,1.0,0,16739,12-20-2017,3,80,1,Marketing,travel_rarely,NO,1,88,0,3,670,0,Male,Y,3,3,0,On PIP,1,2,41.0,3.0,SALES,nan,3.0,Married,3,0,1,Sales Representative
1135,8.0,16,0.0,2,26019,02-05-2016,3,80,1,Technical Degree,Rarely,N,13,78,0,3,795,False,f,Y,4,2,0,On PIP,2,1,34.0,3.0,Research&Development,9160.0,1.0,SINGLE,3,2,2,Healthcare Representative
1136,5.0,18,6.0,1,12971,24/02/2015,4,80,1,Life Sciences,Travel Rarely,No,15,82,1,3,279,True,Male,Y,3,4,0,,2,0,45.0,4.0,sales,9261.0,3.0,SINGLE,4,1,3,Sales Representative
1137,10.0,18,0.0,5,5668,2017-09-21,3,80,1,Life Sciences,travel_rarely,no,2,60,0,3,933,No,Male,Y,2,2,0,Exceeded expectations,3,1,47.0,4.0,Sales,11861.0,3.0,MARRIED,3,3,3,Sales Representative
1138,17.0,11,2.0,1,12744,31/12/2022,3,80,1,Medical,travel_rarely,Y,24,41,1,3,1191,No,Male,Y,3,4,1,Good performer,1,1,25.0,3.0,research & development,$4253.0,3.0,Single,1,1,4,Research Scientist
1139,3.0,15,4.0,2,24846,2008-03-06,3,80,1,Medical,Travel_Rarely,no,1 km,87,2,3,1452,no,Male,Y,2,4,0,Key talent,2,3,42.0,3.0,Research and Development,nan,2.0,Married,2,2,3,Laboratory Technician
1140,1.0,12,0.0,1,21522,2010-03-09,3,80,1,Marketing,Rarely,NO,1,65,0,4,301,Y,FEMALE,Y,3,2,1,New hire,1,1,43.0,1.0,H.R.,5463.0,1.0,SINGLE,3,1,2,Human Resources
1141,5.0,20,1.0,3,6509,30/01/2006,1,80,1,Medical,Travel Rarely,No,6,39,3,3,1138,N,male,Y,4,2,1,New hire,1,2,34.0,3.0,SALES,5200.0,,MARRIED,4,3,3,Sales Representative
1142,2.0,22,3.0,2,4500,02-22-2006,3,80,1,Medical,travel_rarely,NO,6,35,1,4,1165,False,male,Y,4,4,1,Exceeded expectations,5,2,49.0,2.0,Sale,16082.0,2.0,D,3,2,2,Sales Representative
1143,5.0,15,1.0,5,21177,2017-06-14,3,80,1,Medical,Travel Frequently,No,8,36,1,4,642,0,Male,Y,4,2,1,Exceeded expectations,1,0,35.0,1.0,SALES,4254.0,,Single,4,4,3,Manager
1144,40.0,20,2.0,1,22677,25/09/2023,3,80,1,Life Sciences,travel_rarely,NO,1,60,1,3,1081,Yes,female,Y,3,5,1,High potential,1,0,38.0 years,2.0,research & development,5110.0,4.0,married,4,1,3,Research Scientist
1145,8.0,22,3.0,8,11904,2008-07-18,2,80,1,Medical,Travel Frequently,No,25,32,1,4,873,False,Male,Y,3,5,2,Exceeded expectations,2,1,35.0,1.0,Research and Development,11659.0,2.0,single,3,4,2,Healthcare Representative
1146,11.0,19,,11,23783,2008-08-24,3,80,1,Marketing,Travel_Frequently,NO,1,76,0,4,1412,no,male,Y,4,3,8,Meets expectations,4,0,37.0,3.0,R&D,14451.0,4.0,MARRIED,3,0,3,Research Director
1147,11.0,14,2.0,1,18683,03/06/2017,4,80,1,Life Sciences,Travel_Rarely,no,1,30,1,3,793,No,f,Y,4,3,1,Top performer,2,1,27.0,3.0,research & development,7083.0,2.0,MARRIED,2,1,4,Manufacturing Director
1148,17.0,18,2.0,11,14416,2009-01-07,3,80,1,Medical,Rarely,No,1,74,4,4,1367,NO,FEMALE,Y,4,2,0,Exceeded expectations,3,0,24.0,4.0,Sale,9751.0,,M,4,1,5,Sales Executive
1149,28.0,11,2.0,7,16833,2012-12-31,2,80,1,Medical,Travel_Rarely,Yes,6,83,4,3,711,no,M,Y,3,4,6,On PIP,4,0,51.0,2.0,Research & Development,13262.0,3.0,M,1,1,3,Research Scientist
1150,10.0,18,1.0,10,20290,2005-12-25,3,80,1,Life Sciences,travel_rarely,No,21,79,1,4,1297,YES,Male,Y,4,1,8,On PIP,1,0,29.0,3.0,R&D,8265.0,2.0,Divorced,3,4,3,Research Scientist
1151,6.0,16,2.0,5,4485,2013-09-27,4,80,1,Life Sciences,travel_frequently,NO,8,36,0,3,343,no,m,Y,4,2,0,On PIP,2,0,28.0,4.0,research & development,nan,4.0,single,4,3,2,Laboratory Technician
1152,3.0,18,4.0,3,16003,07-28-2017,3,80,1,Other,travel_rarely,No,13,92,3,3,159,0,m,Y,1,2,3,Exceeded expectations,2,0,18.0 years,4.0,Research&Development,9360.0,4.0,S,4,1,2,Laboratory Technician
1153,4.0,16,2.0,0,9459,2021-02-24,2,80,1,Life Sciences,travel_frequently,no,1 km,44,0,3,203,N,MALE,Y,2,5,0,Transferred from other dept,3,3,31.0,4.0,Research and Development,10436.0,3.0,divorced,3,0,3,Research Director
1154,4.0,21,0.0,3,26782,2017-01-22,3,80,1,Life Sciences,Travel_Rarely,NO,6,96,3,3,750,No,MALE,Y,4,1,3,Average,1,0,25.0,3.0,Research&Development,5391.0,3.0,M,4,3,3,Laboratory Technician
1155,3.0,13,0.0,1,8120,08/01/2016,4,80,1,Life Sciences,Travel_Frequently,no,4,59,1,3,1426,no,Male,Y,3,4,1,Key talent,1,3,51.0,4.0,Research and Development,6187.0,,Divorsed,1,0,4,Research Scientist
1156,11.0,22,,1,10485,2023-11-27,3,80,1,Medical,Rarely,NO,5,97,1,3,1110,N,Male,Y,2,3,1,Good performer,3,3,46.0,3.0,Research and Development,10142.0,3.0,MARRIED,3,0,3,Laboratory Technician
1157,8.0,21,1.0,8,16251,2020-10-30,2,80,1,Medical,Travel Rarely,YES,1,65,1,4,176,True,f,Y,2,0,4,Flight risk,2,3,30.0,3.0,Human Resources,$7038.0,2.0,D,2,3,3,Human Resources
1158,,18,1.0,0,20257,07-26-2017,3,80,1,Medical,Frequently,NO,9,96,0,3,1141,N,f,Y,3,3,0,Exceeded expectations,2,1,57.0,3.0,research & development,10488.0,3.0,M,4,0,3,Research Director
1159,34.0,15,5.0,6,24486,29/08/2012,3,80,1,Life Sciences,Travel Rarely,NO,5,34,3,3,1307,NO,FEMALE,Y,2,1,0,On PIP,2,2,45.0,3.0,Research and Development,nan,4.0,Married,3,4,4,Healthcare Representative
1160,5.0,22,1.0,0,8172,04/09/2006,3,80,1,Technical Degree,Travel_Rarely,no,11,54,0,3,1404,False,Male,Y,1,2,0,Good performer,1,0,34.0,2.0,Research & Development,6186.0,4.0,Divorsed,3,0,3,Laboratory Technician
1161,8.0,20,1.0,0,24706,12-28-2021,3,80,1,Life Sciences,travel_rarely,no,5,40,0,3,1411,0,Male,Y,2,4,0,Average,2,0,18.0,4.0,Research&Development,9180.0,,MARRIED,1,0,3,Laboratory Technician
1162,12.0,15,2.0,3,20472,09-20-2020,3,80,1,Life Sciences,Rarely,NO,1,95,0,3,797,0,f,Y,4,2,0,New hire,2,2,nan,4.0,Research & Development,8689.0,2.0,SINGLE,3,3,3,Healthcare Representative
1163,9.0,22,3.0,0,26021,05/07/2019,2,80,1,Medical,Rarely,Yes,8,57,0,3,1045,YES,M,Y,1,2,0,,4,0,24.0 years,2.0,Saless,17026.0,4.0,Single,1,0,4,Sales Executive
1164,3.0,17,0.0,3,23695,2022-02-09,3,80,1,Life Sciences,Travel_Rarely,YES,1,89,3,3,366,True,m,Y,3,2,0,,1,3,22.0,4.0,Sale,5065.0,1.0,single,2,0,1,Sales Executive
1165,15.0,16,3.0,1,8487,14/03/2023,3,80,1,Technical Degree,Travel Rarely,NO,16,39,0,3,880,N,M,Y,3,3,1,Transferred from other dept,4,1,46.0,3.0,Research and Development,14865.0,4.0,SINGLE,2,1,4,Research Scientist
1166,1.0,19,3.0,1,11964,2015-12-19,3,80,1,Technical Degree,Rarely,NO,7,79,1,4,708,YES,Female,Y,4,4,1,Meets expectations,2,0,58.0,,R&D,5823.0,3.0,SINGLE,3,1,3,Research Scientist
1167,8.0,17,2.0,0,13055,13/09/2008,2,80,1,Life Sciences,Travel Rarely,Y,1,68,0,3,1045,N,f,Y,2,2,0,High potential,1,0,49.0,3.0,Saless,3762.0,2.0,Married,2,0,3,Sales Representative
1168,3.0,13,1.0,2,8880,2014-06-11,3,80,1,Technical Degree,Rarely,Y,26 km,66,1,3,1480,False,MALE,Y,2,2,1,New hire,3,1,42.0,4.0,SALES,9198.0,3.0,married,2,0,3,Sales Executive
1169,9.0,21,1.0,0,23105,09-20-2021,1,80,1,Marketing,travel_rarely,No,5,92,0,3,1124,1,male,Y,1,2,0,On PIP,1,1,42.0,3.0,sales,6911.0,1.0,MARRIED,2,0,3,Sales Executive
1170,2.0,21,0.0,2,21810,22/02/2017,3,80,1,Human Resources,Travel_Rarely,N,1,90,2,3,1150,N,Female,Y,4,2,0,,5,1,44.0,4.0,R&D,$13171.0,2.0,Married,3,2,1,Research Scientist
1171,14.0,22,3.0,3,2528,13/01/2020,2,80,1,Life Sciences,Travel Rarely,yes,7,67,0,3,647,N,Male,Y,3,3,1,,4,0,43.0,2.0,Research&Development,13396.0,3.0,SINGLE,3,1,4,Laboratory Technician
1172,2.0,15,2.0,0,12325,09-10-2008,1,80,1,Medical,Travel_Rarely,N,2,62,0,4,259,1,f,Y,2,0,0,,1,0,39.0,4.0,Research and Development,1000.0,,S,4,0,3,Laboratory Technician
1173,22.0,19,2.0,1,20308,17/11/2005,3,80,1,Life Sciences,Travel_Rarely,no,13,74,1,3,1036,NO,female,Y,4,4,1,New hire,1,0,nan,,R&D,3753.0,2.0,single,3,1,3,Manufacturing Director
1174,19.0,21,0.0,8,24844,08-05-2008,4,80,1,Marketing,Travel Rarely,yes,13,73,2,3,498,no,female,Y,1,5,2,Transferred from other dept,2,0,36.0,4.0,Research & Development,7263.0,1.0,M,2,1,2,Research Scientist
1175,,23,2.0,3,24360,2018-04-24,4,80,1,Life Sciences,Travel Frequently,no,29,30,0,3,642,N,male,Y,3,4,0,Meets expectations,2,0,30.0,4.0,Research & Development,10077.0,2.0,single,4,2,3,Research Scientist
1176,4.0,20,2.0,2,24405,2011-06-28,3,80,1,Medical,Rarely,N,5,82,2,3,226,No,m,Y,3,0,0,High potential,2,0,nan,2.0,Research and Development,8594.0,3.0,Single,2,0,3,Laboratory Technician
1177,12.0,24,3.0,5,19246,2017-01-29,3,80,1,Life Sciences,Travel Rarely,no,4,76,5,3,1108,No,m,Y,3,3,2,,1,0,21.0,3.0,Sale,3750.0,1.0,MARRIED,4,2,3,Sales Executive
1178,0.0,12,1.0,0,12554,03-18-2011,2,80,1,Life Sciences,Travel_Rarely,N,11,62,0,3,1047,NO,F,Y,3,4,0,Meets expectations,2,1,36.0,3.0,Sales,9598.0,4.0,DIVORCED,3,0,3,Sales Executive
1179,0.0,11,1.0,0,22704,30/07/2013,1,80,1,Medical,Travel_Rarely,N,1,96,0,3,309,N,F,Y,2,2,0,High potential,1,1,28.0,,Research&Development,5026.0,4.0,Single,3,0,3,Research Scientist
1180,1.0,21,1.0,1,21878,06-28-2015,3,80,1,Technical Degree,Travel Rarely,NO,6,44,1,3,249,N,M,Y,4,4,1,Meets expectations,3,0,27.0,4.0,SALES,11056.0,3.0,MARRIED,3,1,5,Sales Representative
1181,8.0,18,1.0,1,17413,21/03/2005,4,80,1,Medical,Non Travel,No,6,43,1,3,130,no,MALE,Y,3,4,0,Transferred from other dept,3,1,38.0,1.0,R&D,9195.0,4.0,M,4,0,3,Manufacturing Director
1182,1.0,18,2.0,0,24436,23/10/2020,4,80,1,Technical Degree,Travel Rarely,YES,1,52,0,4,711,True,Female,Y,2,1,0,Good performer,2,1,49.0,4.0,Sales,6514.0,3.0,Divorced,2,0,4,Sales Executive
1183,3.0,12,3.0,2,16127,2008-05-08,4,80,1,Life Sciences,Rarely,yes,4,83,2,4,401,no,F,Y,4,3,2,Excellent team player,4,1,45.0,4.0,Research and Development,12762.0,2.0,D,4,0,1,Research Scientist
1184,10.0,24,0.0,9,26643,07-21-2008,4,80,1,Medical,Frequently,Y,15,37,0,3,1062,Yes,FEMALE,Y,4,0,2,,1,1,22.0,,Research and Development,$5069.0,2.0,single,3,0,3,Research Director
1185,0.0,23,1.0,0,20026,2013-06-01,1,80,1,Medical,Rarely,N,15,83,0,3,964,Yes,MALE,Y,3,2,0,Key talent,1,0,28.0,3.0,research & development,5116.0,3.0,SINGLE,4,0,3,Manufacturing Director
1186,1.0,18,2.0,1,17693,16/06/2013,4,80,1,Life Sciences,Travel_Rarely,no,1,65,1,3,864,False,m,Y,3,4,1,Exceeded expectations,2,0,45.0,2.0,R&D,$10316.0,4.0,D,3,1,3,Laboratory Technician
1187,26.0,15,2.0,6,11212,20/09/2014,3,80,1,Medical,Travel Rarely,N,1,81,1,3,782,Yes,female,Y,3,6,0,Flight risk,2,0,28.0,4.0,sales,8577.0,4.0,MARRIED,4,4,4,Sales Representative
1188,,12,,3,7196,2011-05-21,4,80,1,Medical,travel_rarely,N,2,35,2,4,356,No,female,Y,4,5,1,Key talent,2,0,34.0,1.0,R&D,$3938.0,4.0,married,4,3,1,Manufacturing Director
1189,,17,1.0,1,15850,21/09/2006,3,80,1,Medical,Travel Frequently,No,16,57,0,4,1039,Y,M,Y,2,0,1,On PIP,4,1,41.0,,Research&Development,14393.0,4.0,MARRIED,4,0,1,Manufacturing Director
1190,0.0,17,5.0,0,8999,2006-12-20,3,80,1,Marketing,Travel Rarely,NO,1,79,0,3,1180,True,Male,Y,3,5,0,Average,5,2,28.0,1.0,Research and Development,14824.0,2.0,married,3,0,4,Laboratory Technician
1191,8.0,13,1.0,0,9322,02-19-2017,1,80,1,Medical,Rarely,yes,10,67,0,3,108,No,Male,Y,4,4,0,Recently promoted,2,0,37.0 years,1.0,Research&Development,6551.0,1.0,Divorced,4,0,2,Laboratory Technician
1192,2.0,24,2.0,1,5143,26/11/2010,1,80,1,Life Sciences,travel_rarely,no,1,59,0,3,1128,yes,Male,Y,2,4,0,Flight risk,3,1,24.0,3.0,Research&Development,9781.0,3.0,DIVORCED,3,1,3,Research Scientist
1193,32.0,11,5.0,0,15812,24/01/2021,3,80,1,Life Sciences,Travel Rarely,NO,7,83,0,3,946,Y,MALE,Y,3,5,0,New hire,1,2,31.0,4.0,SALES,4004.0,4.0,Married,3,0,3,Manager
1194,11.0,21,2.0,6,19854,03-27-2011,4,80,1,,travel_frequently,No,3,75,4,3,1237,0,FEMALE,Y,3,3,0,Meets expectations,1,0,39.0,3.0,sales,nan,3.0,single,4,1,4,Sales Representative
1195,36.0,14,2.0,11,7678,09-20-2022,2,80,1,,travel_rarely,N,12,57,0,4,876,True,MALE,Y,4,2,4,Top performer,3,3,22.0,2.0,SALES,11305.0,4.0,Divorced,2,1,2,Sales Executive
1196,18.0,12,2.0,5,3382,2015-02-11,2,80,1,Life Sciences,No Travel,YES,2,46,2,3,784,NO,f,Y,4,0,0,Good performer,2,0,40.0,3.0,Human Resourses,5883.0,4.0,S,2,4,2,Manager
1197,6.0,14,3.0,5,23780,2008-11-21,2,80,1,Medical,Rarely,YES,8,77,4,3,831,no,MALE,Y,2,0,4,,2,3,36.0,3.0,Research and Development,8535.0,3.0,Single,4,0,3,Healthcare Representative
1198,11.0,18,3.0,3,11528,10-23-2005,2,80,1,Medical,Frequently,no,2,73,0,3,1328,NO,Female,Y,2,3,3,Key talent,1,0,41.0,3.0,SALES,8355.0,1.0,D,3,3,5,Manager
1199,16.0,12,1.0,0,9114,20/04/2012,2,80,1,Life Sciences,Travel Rarely,N,10,89,0,4,123,0,Female,Y,3,2,0,Flight risk,2,0,39.0,3.0,Research & Development,nan,2.0,single,2,0,3,Healthcare Representative
1200,8.0,11,0.0,0,11434,2022-09-13,2,80,1,Medical,travel_rarely,N,16,89,0,4,592,0,male,Y,3,3,0,New hire,1,1,49.0,4.0,Sale,4573.0,3.0,single,3,0,3,Manager
1201,0.0,21,0.0,0,3705,11-10-2017,2,80,1,Medical,Non Travel,N,1,34,0,4,1069,Yes,Male,Y,2,1,0,Needs improvement,2,3,38.0,2.0,Research & Development,$4214.0,4.0,SINGLE,4,0,3,Research Scientist
1202,6.0,24,,6,7997,2009-05-06,4,80,1,Life Sciences,travel_rarely,YES,16 km,98,6,3,202,No,MALE,Y,3,6,6,Transferred from other dept,1,0,33.0,4.0,HR,4548.0,2.0,D,2,0,5,Human Resources
1203,1.0,13,4.0,1,24447,2010-08-04,4,80,1,Marketing,Frequently,NO,7,99,1,3,1183,True,MALE,Y,4,1,1,Recently promoted,1,2,38.0,3.0,sales,5964.0,3.0,MARRIED,3,1,4,Sales Representative
1204,12.0,20,4.0,2,9962,27/05/2017,3,80,1,Medical,Rarely,No,1,36,1,3,1209,1,F,Y,1,2,2,,1,1,41.0,1.0,Human Resourses,6080.0,4.0,MARRIED,4,2,5,Human Resources
1205,11.0,17,2.0,2,13391,2008-06-06,4,80,1,Medical,Rarely,No,4,82,2,3,866,N,f,Y,3,2,1,,1,0,37.0,4.0,,5116.0,2.0,single,3,0,1,Sales Executive
1206,40.0,23,3.0,2,16535,2022-07-22,2,80,1,Medical,travel_frequently,yes,1,46,2,3,1122,Y,Male,Y,3,0,2,Excellent team player,4,1,37.0,2.0,Saless,15333.0,2.0,Married,3,2,2,Manager
1207,9.0,22,1.0,2,26480,22/10/2010,3,80,1,Life Sciences,travel_frequently,no,9,88,2,4,471,yes,m,Y,4,3,1,Average,1,1,30.0,3.0,SALES,8819.0,3.0,married,1,2,3,Sales Executive
1208,16.0,16,1.0,4,20978,05-04-2007,3,80,1,Medical,Frequently,YES,11,38,3,4,778,NO,Male,Y,3,3,4,Excellent team player,1,0,31.0,4.0,Research & Development,7568.0,3.0,single,4,1,4,Healthcare Representative
1209,3.0,16,1.0,3,14129,2008-03-08,1,80,1,Life Sciences,Frequently,N,1,51,0,3,695,False,female,Y,3,3,0,Needs improvement,2,2,24.0,2.0,research & development,$7216.0,4.0,Married,4,1,2,Research Scientist
1210,4.0,17,3.0,4,19699,08/09/2020,3,80,1,Human Resources,travel_rarely,N,5,74,4,3,301,N,male,Y,4,4,2,Top performer,2,3,52.0,1.0,Research & Development,5823.0,1.0,S,3,1,2,Research Scientist
1211,24.0,18,2.0,5,26523,2012-10-23,4,80,1,Marketing,Travel_Rarely,no,13,88,5,3,188,Y,m,Y,1,2,2,,1,1,25.0,,Research and Development,nan,3.0,D,1,1,4,Laboratory Technician
1212,14.0,13,1.0,2,10759,06/10/2008,1,80,1,Medical,travel_frequently,N,22 km,42,2,3,536,0,FEMALE,Y,3,4,2,Key talent,1,3,30.0,2.0,Research&Development,3579.0,2.0,Married,4,2,1,Research Scientist
1213,10.0,13,1.0,10,4704,2020-06-13,2,80,1,Life Sciences,Travel Rarely,No,5,41,0,3,219,NO,F,Y,3,4,1,Key talent,5,0,30.0,3.0,Research & Development,nan,3.0,Divorced,3,0,3,Manufacturing Director
1214,2.0,20,1.0,2,7725,12-12-2016,4,80,1,Life Sciences,Non Travel,Y,24,65,2,3,255,0,Male,Y,2,4,2,Average,3,0,45.0,4.0,research & development,9228.0,1.0,SINGLE,4,1,3,Laboratory Technician
1215,11.0,23,3.0,2,23075,10-11-2023,1,80,1,Life Sciences,Travel Rarely,no,6 km,39,2,4,498,YES,Female,Y,3,2,0,High potential,2,2,34.0,3.0,human resources,7890.0,4.0,Divorced,2,2,3,Human Resources
1216,21.0,18,3.0,2,2124,06/12/2009,3,80,1,Medical,travel_rarely,N,4,45,2,4,287,0,M,Y,2,2,1,Key talent,2,2,48.0,4.0,SALES,9257.0,3.0,Married,1,0,4,Sales Executive
1217,2.0,22,4.0,2,11729,2021-05-07,4,80,1,Life Sciences,Travel Rarely,Yes,15,48,2,3,1175,0,m,Y,3,3,1,Key talent,1,0,30.0,4.0,Research&Development,4848.0,4.0,MARRIED,2,0,3,Laboratory Technician
1218,12.0,23,3.0,2,14767,27/06/2020,4,80,1,Medical,Travel_Rarely,NO,5,35,2,4,751,No,f,Y,3,2,0,Top performer,1,0,39.0,4.0,research & development,nan,3.0,D,3,2,3,Research Scientist
1219,5.0,24,3.0,3,23481,16/03/2021,4,80,1,Life Sciences,Travel_Rarely,N,5,33,1,3,686,No,Female,Y,4,1,3,High potential,2,2,29.0,4.0,Research and Development,$9762.0,3.0,Married,2,0,3,Manufacturing Director
1220,1.0,23,3.0,1,6807,2018-05-17,3,80,1,Other,Travel_Rarely,NO,5,59,1,3,329,N,male,Y,4,2,0,Needs improvement,4,0,56.0,,Research & Development,11181.0,4.0,Single,4,0,3,Laboratory Technician
1221,,17,1.0,9,20354,2013-04-18,2,80,1,Life Sciences,No Travel,No,15,75,0,3,1253,Yes,M,Y,2,3,0,Average,1,0,26.0 years,3.0,sales,4508.0,2.0,MARRIED,2,1,3,Sales Executive
1222,1.0,20,,1,18009,29/07/2012,4,80,1,Human Resources,Rarely,no,14 km,56,1,4,154,Y,Male,Y,4,1,1,Average,3,1,39.0,1.0,research & development,10937.0,2.0,Married,4,1,2,Laboratory Technician
1223,2.0,15,3.0,2,21146,09-03-2022,3,80,1,Technical Degree,Travel_Rarely,No,4,74,0,3,370,N,male,Y,4,5,2,Excellent team player,1,3,42.0,3.0,Research & Development,5023.0,3.0,MARRIED,3,0,1,Research Scientist
1224,15.0,14,0.0,10,23901,12/03/2017,3,80,1,Medical,Travel_Frequently,no,3 km,66,6,3,1223,NO,m,Y,2,3,1,Flight risk,1,2,40.0 years,4.0,Saless,5270.0,3.0,single,3,7,2,Sales Executive
1225,13.0,16,1.0,12,19198,10-17-2019,4,80,1,Medical,Frequently,Yes,5,38,7,3,1192,Y,male,Y,4,1,3,Excellent team player,1,2,35.0,1.0,Saless,5915.0,2.0,MARRIED,4,3,2,Sales Executive
1226,2.0,19,2.0,2,5101,01-15-2005,4,80,1,Medical,travel_rarely,N,6,90,0,3,1422,N,MALE,Y,3,4,1,On PIP,1,0,nan,4.0,Research and Development,nan,3.0,single,3,2,3,Healthcare Representative
1227,28.0,16,3.0,0,3654,01-30-2018,3,80,1,Medical,Rarely,No,2,64,0,3,1069,N,Female,Y,4,5,0,,4,1,37.0,3.0,Saless,nan,,married,2,0,4,Manager
1228,2.0,18,0.0,2,18515,21/08/2008,2,80,1,Life Sciences,travel_rarely,no,12,76,2,3,1477,No,F,Y,4,2,0,Exceeded expectations,2,0,35.0 years,4.0,R&D,7388.0,1.0,MARRIED,2,0,4,Healthcare Representative
1229,40.0,11,1.0,2,26806,27/02/2009,2,80,1,Life Sciences,non-travel,no,5,50,2,3,1275,No,female,Y,4,1,2,Needs improvement,1,3,45.0,4.0,Research & Development,4082.0,2.0,MARRIED,4,0,4,Research Scientist
1230,13.0,22,1.0,1,2394,2014-03-23,3,80,1,Medical,Frequently,No,3,46,1,3,429,yes,m,Y,3,2,1,Flight risk,5,1,56.0,4.0,research & development,18181.0,4.0,SINGLE,4,1,3,Research Scientist
1231,4.0,24,2.0,4,9319,2023-06-08,2,80,1,,Travel_Rarely,Y,1,84,2,3,215,0,female,Y,3,4,1,Key talent,4,1,31.0,4.0,Research and Development,13030.0,4.0,M,2,0,3,Laboratory Technician
1232,1.0,16,2.0,1,5573,07-24-2005,2,80,1,Medical,travel_frequently,YES,2 km,35,1,3,422,False,f,Y,3,2,0,Key talent,3,2,24.0,,research & development,12270.0,1.0,Single,4,1,3,Manufacturing Director
1233,3.0,24,1.0,3,11173,2018-07-10,3,80,1,,None,yes,23,64,3,3,662,YES,FEMALE,Y,3,4,3,Meets expectations,4,0,36.0,3.0,Research & Development,14028.0,1.0,SINGLE,3,2,2,Research Director
1234,2.0,24,0.0,0,9106,15/04/2007,3,80,1,Life Sciences,Travel_Rarely,no,2,79,0,4,328,False,f,Y,2,3,0,Top performer,1,3,60.0,4.0,,4218.0,1.0,divorced,4,0,1,Sales Executive
1235,9.0,12,1.0,0,24009,05/06/2019,3,80,1,Life Sciences,travel_rarely,NO,1,66,0,3,459,no,F,Y,3,3,0,Recently promoted,3,0,29.0,1.0,sales,11927.0,2.0,divorced,4,0,3,Sales Executive
1236,4.0,13,1.0,2,13147,2017-06-01,2,80,1,Life Sciences,Travel Rarely,No,4,42,0,3,1128,N,MALE,Y,4,2,0,Needs improvement,3,0,51.0,4.0,Research & Development,9908.0,4.0,MARRIED,2,2,5,Manufacturing Director
1237,3.0,16,3.0,0,23012,09-04-2021,2,80,1,Life Sciences,Travel_Rarely,Y,2,54,0,3,127,N,male,Y,4,2,0,,4,0,52.0,2.0,Research & Development,$14957.0,,Married,4,0,2,Healthcare Representative
